Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa 
Arica y Parinacota,15,Arica,15101,247552,6,6,12,41,63,87,115,46.5
Arica y Parinacota,15,Camarones,15102,1233,-,-,-,-,-,-,-,0.0
Arica y Parinacota,15,General Lagos,15202,810,-,-,-,-,-,-,-,0.0
Arica y Parinacota,15,Putre,15201,2515,-,-,-,-,-,-,-,0.0
Tarapaca,01,Alto Hospicio,01107,129999,-,-,-,5,6,10,14,10.8
Tarapaca,01,Camina,01402,1375,-,-,-,-,-,-,-,0.0
Tarapaca,01,Colchane,01403,1583,-,-,-,-,-,-,-,0.0
Tarapaca,01,Huara,01404,3000,-,-,-,-,-,-,-,0.0
Tarapaca,01,Iquique,01101,223463,5,9,10,13,16,18,26,11.6
Tarapaca,01,Pica,01405,5958,-,-,-,-,-,5,10,167.8
Tarapaca,01,Pozo Almonte,01401,17395,-,-,-,-,-,-,2,11.5
Antofagasta,02,Antofagasta,02101,425725,29,32,44,54,60,82,106,24.9
Antofagasta,02,Calama,02201,190336,-,-,5,7,8,13,20,10.5
Antofagasta,02,Maria Elena,02302,6814,-,-,-,-,-,-,1,14.7
Antofagasta,02,Mejillones,02102,14776,-,-,-,-,-,6,12,81.2
Antofagasta,02,Ollague,02202,287,-,-,-,-,-,-,-,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434,-,-,-,4,4,4,4,38.3
Antofagasta,02,Sierra Gorda,02103,1746,-,-,-,-,-,-,-,0.0
Antofagasta,02,Taltal,02104,13657,-,-,-,-,-,-,3,22.0
Antofagasta,02,Tocopilla,02301,28079,-,-,-,-,-,-,3,10.7
Atacama,03,Alto del Carmen,03302,5729,-,-,-,-,-,-,-,0.0
Atacama,03,Caldera,03102,19426,-,-,-,-,-,-,-,0.0
Atacama,03,Chanaral,03201,13164,-,-,-,-,-,-,-,0.0
Atacama,03,Copiapo,03101,171766,-,-,4,4,5,8,8,4.7
Atacama,03,Diego de Almagro,03202,14358,-,-,-,-,-,-,1,7.0
Atacama,03,Freirina,03303,7681,-,-,-,-,-,-,-,0.0
Atacama,03,Huasco,03304,11264,-,-,-,-,-,-,-,0.0
Atacama,03,Tierra Amarilla,03103,14312,-,-,-,-,-,4,4,27.9
Atacama,03,Vallenar,03301,57009,-,-,-,-,-,-,-,0.0
Coquimbo,04,Andacollo,04103,11791,-,-,-,-,-,-,-,0.0
Coquimbo,04,Canela,04202,9546,-,-,-,-,-,-,-,0.0
Coquimbo,04,Combarbala,04302,13884,-,-,-,-,-,-,-,0.0
Coquimbo,04,Coquimbo,04102,256735,17,19,19,19,19,21,21,8.2
Coquimbo,04,Illapel,04201,32801,-,-,-,7,12,13,17,51.8
Coquimbo,04,La Higuera,04104,4450,-,-,-,-,-,-,-,0.0
Coquimbo,04,La Serena,04101,249656,-,-,8,12,12,12,12,4.8
Coquimbo,04,Los Vilos,04203,23374,-,-,-,-,-,-,1,4.3
Coquimbo,04,Monte Patria,04303,32527,-,-,-,-,-,-,-,0.0
Coquimbo,04,Ovalle,04301,121269,4,4,4,7,7,8,8,6.6
Coquimbo,04,Paiguano,04105,4675,-,-,-,-,-,-,-,0.0
Coquimbo,04,Punitaqui,04304,12165,-,-,-,-,-,-,-,0.0
Coquimbo,04,Rio Hurtado,04305,4372,-,-,-,-,-,-,1,22.9
Coquimbo,04,Salamanca,04204,29110,-,-,-,4,4,5,6,20.6
Coquimbo,04,Vicuna,04106,29741,-,-,-,-,-,-,-,0.0
Valparaiso,05,Algarrobo,05602,15174,7,7,9,9,8,8,8,52.7
Valparaiso,05,Cabildo,05402,20663,-,-,-,-,-,-,-,0.0
Valparaiso,05,Calera,05502,53591,6,6,7,7,9,9,9,16.8
Valparaiso,05,Calle Larga,05302,16482,-,-,-,-,-,-,2,12.1
Valparaiso,05,Cartagena,05603,25357,-,-,-,-,-,-,2,7.9
Valparaiso,05,Casablanca,05102,29170,-,-,-,-,-,-,3,10.3
Valparaiso,05,Catemu,05702,15213,-,-,-,-,-,-,-,0.0
Valparaiso,05,Concon,05103,45889,-,-,7,7,-,-,6,13.1
Valparaiso,05,El Quisco,05604,17742,-,-,-,-,-,-,3,16.9
Valparaiso,05,El Tabo,05605,14338,-,-,-,-,-,-,2,13.9
Valparaiso,05,Hijuelas,05503,19099,-,-,-,-,-,-,-,0.0
Valparaiso,05,Isla de Pascua,05201,8277,-,5,5,5,5,6,6,72.5
Valparaiso,05,Juan Fernandez,05104,1033,-,-,-,-,-,-,-,0.0
Valparaiso,05,La Cruz,05504,25321,-,-,-,-,-,-,5,19.7
Valparaiso,05,La Ligua,05401,37739,-,-,-,-,-,-,2,5.3
Valparaiso,05,Limache,05802,49931,-,-,-,4,5,7,8,16.0
Valparaiso,05,Llaillay,05703,26533,-,-,-,-,-,-,2,7.5
Valparaiso,05,Los Andes,05301,68093,-,-,-,-,6,6,6,8.8
Valparaiso,05,Nogales,05506,23490,-,-,-,-,-,-,-,0.0
Valparaiso,05,Olmue,05803,19266,-,-,-,-,-,-,1,5.2
Valparaiso,05,Panquehue,05704,7633,-,-,-,-,-,-,-,0.0
Valparaiso,05,Papudo,05403,6201,-,-,-,-,-,-,-,0.0
Valparaiso,05,Petorca,05404,10558,-,-,-,5,4,5,6,56.8
